NODE_ID,ENTITY_TITLE,OP_CODE,ALIAS_OR_ROLE,JURISDICTION,TOKEN_SHAPE,EXTRA_METADATA_LEGAL,
46,Woodfine Professional Centres Inc.,PRO-CA-01-ADM,General Partner,(Canada),Standard Green,,
47,Woodfine Buildings,,Qualified Investments,(United States),Grey Solid (Short),,
48,Woodfine Buildings,,Qualified Investments,(Spain),Grey Solid (Short),,
49,Woodfine Buildings,,Qualified Investments,(Mexico),Grey Solid (Short),,
50,Cross-Border Flow-Through for Immovable Property,,SPV – Special Purpose Vehicle,(Local Jurisdiction),Blue Dashed,,
51,Global Management,,Manager,(Global),Standard Green,,
52,Realty Solutions Common Shares,,Common Shares,(Ireland),Blue Solid,,
53,Holdings 1 Inc.,,SPV-GP Holdings 1,(Canada),Blue Solid,,
54,Holdings 1 Limited Partnership,,SPV-LP Holdings 1,(Canada),Blue Dashed,,
55,Club Deals,,,,,,
56,Access Fund,,,,,,
57,Exchange-Traded Notes,,,,,,
58,Woodfine Direct-Hold Solutions,,,,,,
59,Qualified Investors,,,,,,
60,Benetti,,,El Salvador,,,
61,Woodfine Professional Centres 5,,,El Salvador,,,
62,Woodfine Professional Centres 5,,,El Salvador,,,
63,Titularizadora,,,El Salvador,,,
64,WCP Titleco,,,El Salvador,,,
65,Woodfine Buildings,,,El Salvador,,,
66,Valores de Titularizaci�n de Participaci�n,,,El Salvador,,,
70,Director / Chair of the / Board of Directors,Ian Thomas,,token-base token-olive tall,40,76,
71,Director / Executive Officer,Peter M. Woodfine,,token-base token-olive tall,241.5,76,
72,Independent / WCP Director,Ralph Peterson,,token-base token-grey tall,443,76,
73,Independent / WCP Director,TBD,,token-base token-grey tall,644.5,76,
74,Independent / WCP Director,TBD,,token-base token-grey tall,846,76,
75,Operating Officer,Ben Elzen,,token-base token-olive std,241.5,192,
76,Financial Officer,Wayne Herbert,,token-base token-olive std,443,192,
77,Corporate Secretary,Peter Leveque,,token-base token-olive std,644.5,192,
78,PointSav Digital Systems,,,token-base token-grey tall,40,300,
79,Head of Construction,Jennifer M. Woodfine,,token-base token-blue tall,241.5,300,
80,Head of Real Estate,Peter M. Woodfine,,token-base token-blue tall,443,300,
81,Investor Relations,Laura Capello,,token-base token-blue tall,644.5,300,
82,Head of Compliance,Mathew Woodfine,,token-base token-blue tall,846,300,
83,Control Architect,,,token-base token-green compact,40,408,
84,IT Support,,,token-base token-blue compact,443,432,
85,Office Support,,,token-base token-blue compact,644.5,432,
86,Service Providers / Alignment of Principles,,,token-base token-green compact,846,432,
87,Site Manager,,,token-base token-blue compact,40,500,
88,Building Manager,,,token-base token-blue compact,241.5,500,
89,Bookkeeper,,,token-base token-blue compact,644.5,500,
90,Broker/Dealers / Allocations,,,token-base token-green compact,846,500,
91,Independent Director of the / General Partner/Administrator,Herb Evers,,token-base token-grey short,443,592,
92,Independent Director of the / General Partner/Administrator,Bruce Andrews,,token-base token-grey short,644.5,592,
93,Independent Director of the / General Partner/Administrator,TBD,,token-base token-grey short,846,592,
17,Woodfine Professional / Centres Limited Partnership,"""Direct-Hold Solution""",(Canada),token-yellow,40,678,
32,Woodfine Professional / Centres 2 Limited Partnership,"""Direct-Hold Solution""",(United States),token-yellow,295.3,678,
33,Woodfine Professional Centres 3 / Sociedad Anónima Cotizada / de Inversión Inmobiliaria,"""Direct-Hold Solution""",(Spain),token-yellow,550.7,678,
34,Woodfine Professional Centres 4 / Fideicomiso de Infraestructura / en Bienes Raíces,"""Direct-Hold Solution""",(Mexico),token-yellow,806,678,
