term_en,term_es,definition,domain
First Engagement,Primer Compromiso,The initial interaction or formal agreement with a new partner or client.,corporate
First Secured Debenture,Primer Debenture Garantizado,A secured debt instrument with a primary claim on specified assets.,corporate
First Secured Mortgage Debentures,Debentures Hipotecarios de Primera Garantía,Exchange-traded debt instruments with a primary claim on real estate assets,corporate
Flight to Quality,Fuga hacia la Calidad,A market trend where demand shifts towards premium,corporate
flow-through corporate vehicle,vehículo corporativo de flujo directo,A corporate entity where income is passed directly to investors without being taxed at the corporate level,corporate
flow-through taxation,tributación de flujo directo,A tax mechanism where income and losses are passed directly to investors and taxed at their individual rates,corporate
flow-through trust vehicle,vehículo fiduciario de flujo directo,A trust entity where income is passed directly to investors without being taxed at the trust level,corporate
Food Provider,Proveedor de Alimentos,An entity supplying food services to tenants or the public.,corporate
Forward-Looking Information,Información Prospectiva,Statements about future financial performance,corporate
freely transferable,de libre transmisión,The statutory condition of private equity units in direct-hold solutions,corporate
Freely Transferable,De Libre Transmisión,The statutory condition of investment units,corporate
General Partner (GP),Socio Colectivo (GP),The managing partner in a limited partnership,corporate
General Partner or Administrator,Socio Colectivo o Administrador,A legal signatory for direct-hold solutions,corporate
General Staff,Personal General,Employees who perform administrative or operational duties.,corporate
Geometry of Sustainability,Geometría de la Sostenibilidad,A design principle ensuring environmental performance and long-term viability in built environments.,corporate
Global Security Identifier,Identificador Global de Valores,A standardized code for identifying securities across international markets (ee.g.,corporate
GLOSSARY,GLOSARIO,A header reference for the definition ledger.,corporate
Governance Committee,Comité de Gobernanza,A committee overseeing corporate governance policies and practices.,corporate
Governance Structure,Estructura de Gobernanza,The framework of rules and practices ensuring accountability and compliance,corporate
Gross Funded Value (GFV),Valor Financiado Bruto (VFB),The total capital raised and deployed into qualified investments.,corporate
Gross Funded Value,Valor Financiado Bruto,The total value of capital raised and deployed.,corporate
Growth Strategy,Estrategia de Crecimiento,A plan to expand a company's operations,corporate
Hardware Store,Ferretería,A retail outlet selling household hardware and tools.,corporate
Hedge Funds,Fondos de Cobertura,Aggressively managed portfolios using advanced investment strategies.,corporate
Higher Education,Educación Superior,Post-secondary academic and vocational training institutions.,corporate
Holder,Tenedor / Titular,The legal owner of an investment unit or share.,corporate
Human-Centric Wellness,Bienestar Centrado en el Humano,Certifications and design principles ensuring building standards focused on occupant health and well-being within Woodfine Professional Centres.,corporate
Hybrid Management Style,Estilo de Gestión Híbrido,A leadership approach combining elements of different management philosophies.,corporate
Independent Oversight Committee,Comité de Supervisión Independiente,A discrete,corporate
Indeval,Indeval,The central securities depository in Mexico.,corporate
Initial Period,Período Inicial,The commencing phase of a project or agreement.,corporate
Insulating Capital,Capital Aislante,The protection of investment capital from commercial credit cycles and market volatility,corporate
institutional retail halo,halo minorista institucional,The effect of transposing retail resilience onto professional office space by strategically positioning institutional-grade buildings adjacent to thriving power centres.,corporate
Institutional Investors,Inversores Institucionales,Organizations that pool money to purchase securities,corporate
Institutional-Grade Woodfine Buildings,Edificios Woodfine de Grado Institucional,High-quality properties developed by Woodfine,corporate
international real estate,inversión inmobiliaria internacional,The broader market context for physical asset investments across different jurisdictions.,corporate
Internal Rate of Returns,Tasas Internas de Retorno (TIR),A metric used to estimate the profitability of potential investments.,corporate
Investment Bankers,Banqueros de Inversión,Financial professionals who assist corporations and governments in raising capital.,corporate
Investment Banking,Banca de Inversión,A specialized division of finance engaged in raising capital for companies and governments.,corporate
investment funds,fondos de inversión,Layered pooled capital structures that direct-hold solutions explicitly bypass to eliminate structural bloat,corporate
investment vehicle,vehículo de inversión,A legal or financial structure used to make investments,corporate
Investment Professionals,Profesionales de Inversión,Authorized recipients and investment professionals to whom confidential briefings are restricted,corporate
INVESTMENT STRATEGY,ESTRATEGIA DE INVERSIÓN,A header reference for sections detailing capital deployment logic.,corporate
investment units,unidades de inversión,Public,corporate
Investor,Inversionista,A party that allocates capital with the expectation of a financial return.,corporate
Investor Relations,Relaciones con Inversores,The strategic function managing communication between a company and its investors.,corporate
ISIN/CUSIP,ISIN/CUSIP,International Securities Identification Number and Committee on Uniform Securities Identification Procedures,corporate
Isolated Protection Domains,Dominios de Protección Aislados,Secure,corporate
issue cost,costo de emisión,A charge applied to recapture the origination expense of issuing securities,corporate
Joint Venture,Empresa Conjunta,A traditional partnership where two or more parties undertake economic activity together,corporate
Jurisdictional Diversification,Diversificación Jurisdiccional,The strategic use of external special purpose vehicles or club deals to optimize tax treaties and integrate capital across different regulatory environments.,corporate
Jurisdictional Framework,Marco Jurisdiccional,"The legal and regulatory structure governing operations within a specific geographical area. This term replaces ""architecture"" to avoid ambiguity with physical structures.",corporate
Key Note Slides,Diapositivas de Presentación,Visual aids used for formal presentations.,corporate
Know Your Client (KYC),Conozca a Su Cliente (KYC),A banking compliance requirement for verifying the identity and assessing the suitability of clients.,corporate
Leasing Fees,Comisiones de Arrendamiento,Charges for securing tenants and managing lease agreements.,corporate
legacy joint venture,empresa conjunta preexistente,A traditional partnership structure,corporate
Legacy Cash Flow,Flujo de Caja Legado,The primary yield generated from stabilized assets and organic deleveraging,corporate
leverage cycle,ciclo de apalancamiento,The period during which the debt-to-asset value is increased to fund development,corporate
limited partnership,sociedad en comandita,A legal business structure used as an investment vehicle where partners have limited liability.,corporate
Universal Governing Bylaws,Estatutos de Gobierno Universales,A core legal document outlining the rights and obligations of general and limited partners,corporate
Listed,Cotizada,Admission to trading on a public stock exchange.,corporate
Listed Equity,Capital Cotizado,Shares of companies traded on a public stock exchange.,corporate
Loans and Mortgages,Préstamos e Hipotecas,Borrowed capital secured by assets,corporate
Local Administration,Administración Local,Governmental bodies responsible for managing regional services and regulations.,corporate
long-term savers,ahorradores a largo plazo,Individuals or institutions focused on preserving and growing wealth over extended periods,corporate
LP,LP,Abbreviation for Limited Partner or Limited Partnership.,corporate
LP Units,Unidades de Inversión,Units of ownership in a limited partnership,corporate
Machine-Based Authorization,Autorización Basada en Máquinas,A security paradigm rejecting legacy passwords in favor of hardware pairing as the sole mechanism for permission and access control in PointSav Digital Systems.,corporate
Management Board,Junta Directiva,A collective body overseeing the strategic direction and operations of a company.,corporate
Management Carry,Participación del Gestor,The share of profits allocated to the management team,corporate
Management Discussion and Analysis,Análisis y Discusión de la Gerencia,A section of financial reports providing insights into a company's performance,corporate
Management Fee,Comisión de Gestión,A charge for professional management services,corporate
management phase,fase de gestión,The period following the leverage cycle where assets are managed and debt is systematically redeemed through organic deleveraging.,corporate
Market Makers,Creadores de Mercado,Financial institutions that provide liquidity by offering to buy and sell securities.,corporate
Market Value,Valor de Mercado,The current price at which an asset could be bought or sold in the open market.,corporate
Marketing Directory,Directorio de Marketing,A compilation of contacts and resources for promotional activities.,corporate
Marketing Material,Material de Marketing,Promotional content used to inform and attract potential investors.,corporate
Marketing Period,Período de Marketing,The duration during which a product or service is actively promoted to the market.,corporate
Material Change Event,Evento de Cambio Material,A significant event affecting a company's value or prospects,corporate
Media Releases,Comunicados de Prensa,Official statements issued to the press to announce news or provide information.,corporate
MediaWiki,MediaWiki,A free and open-source wiki software used for creating collaborative content platforms.,corporate
Medical Centers,Centros Médicos,Facilities providing healthcare services,corporate
Merchant Developer,Desarrollador Comercial,A developer who builds properties with the intent of selling them upon completion or stabilization.,corporate
metro markets,mercados metropolitanos,Large urban areas,corporate
Microkernel architecture,Arquitectura de Microkernel,A minimal operating system kernel providing essential services,corporate
Mexico,México,A target market for the expansion of Woodfine's direct-hold solutions.,corporate
Mexico FIBRA,Mexico FIBRA,An analytical designation for Woodfine's Mexican direct-hold solutions,corporate
multi-generational capital,capital multigeneracional,Capital managed with long-term preservation and growth objectives across successive generations,corporate
Mutual Fund Theorem,Teorema del Fondo Mutuo,A theory in finance suggesting that all investors can achieve an optimal portfolio by combining a risk-free asset with a single mutual fund.,corporate
narrow banking,banca estrecha,A model where operating structures finance procurement and development solely through perpetual equity and exchange-traded debt,corporate
National Pricing,Precios Nacionales,A uniform pricing strategy applied across a national market.,corporate
National Retailers,Minoristas Nacionales,Large retail chains with a significant national presence,corporate
National Securities Registry,Registro Nacional de Valores (RNV),An official registry for securities in Mexico,corporate
National Tenants,Inquilinos Nacionales,Large,corporate
Net Asset Value (NAV) Fees,Comisiones sobre el Valor Liquidativo (NAV),Fees typically charged by layered investment funds,corporate
Net Asset Value (NAV),Valor Liquidativo (NAV),The underlying asset value of an investment unit,corporate
Net Leasable,Arrendable Neto,The total area within a property that can be rented out to tenants.,corporate
Newsroom,Sala de Prensa,A central hub for generating and disseminating news and public information.,corporate
No Negociada,No Negociada,Not traded on an open exchange,corporate
Non-Compete Agreements,Acuerdos de No Competencia,Agreements restricting individuals from engaging in competing business activities,corporate
North America,Norteamérica,The continental region serving as a primary operational context for Woodfine's regional market strategy.,corporate
Offering Costs,Costos de Oferta,Costs associated with the issuance of investment units,corporate
Offering Document — Exceptions,Documento de Oferta — Excepciones,Specific provisions or waivers within a securities offering document.,corporate
Offering Document — Prospectus,Documento de Oferta — Prospecto,A formal legal document providing details about a securities offering to potential investors.,corporate
Offset Pulled Back Core,Núcleo Retraído Desplazado,A building core design providing a continuous corridor with a direct line of sight to elevator lobbies,corporate
Office Tenants,Inquilinos de Oficina,Businesses or individuals leasing office space.,corporate
ongoing reporting requirements,requisitos de informes continuos,Mandatory disclosures and filings required by securities regulators,corporate
Operating Costs,Gastos Operativos,Expenses incurred in the day-to-day running of a business or property.,corporate
Operating Expenses,Gastos Operativos,Costs associated with the operation and maintenance of a property.,corporate
Operating Officer,Oficial de Operaciones,A senior executive responsible for managing the day-to-day operations of an organization.,corporate
organic deleveraging,desapalancamiento orgánico,The systematic reduction of debt in direct-hold solutions,corporate
Oversight Committees,Comités de Supervisión,Bodies responsible for monitoring operations,corporate
Over-The-Counter (OTC) (Reference Value),Mercado Extrabursátil (OTC) (Valor de Referencia),Over-The-Counter trading where transfers occur via broker-to-broker settlement based on a public net asset value,corporate
Over-The-Counter (OTC),Mercado Extrabursátil (OTC),A decentralized market where securities are traded directly between two parties,corporate
Parent Company,Compañía Matriz,Woodfine Capital Projects Inc.,corporate
Parking Ratios,Ratios de Estacionamiento,The number of parking spaces available per unit of leasable area,corporate
Parking Structures,Estructuras de Estacionamiento,Multi-level facilities designed for vehicle parking.,corporate
Partnership Oversight Committee,Comité de Supervisión de la Sociedad,A body responsible for overseeing the management and compliance of a partnership.,corporate
Pension Funds,Fondos de Pensiones,Investment funds that hold assets to finance pension benefits for employees.,corporate
perpetual equity,capital perpetuo,Permanent,corporate
Personnel Biography,Biografía del Personal,A professional profile detailing the experience and qualifications of an individual.,corporate
PointSav Command Centre™,PointSav Command Centre™,A unified interface within PointSav Digital Systems for monitoring and managing all connected building systems and operations.,corporate
PointSav Digital Systems™,PointSav Digital Systems™,A dedicated,corporate
PointSav Edge Computing,Computación en el Borde de PointSav,PointSav's proprietary implementation of edge computing,corporate
PointSav Media Kit API,API del Kit de Medios de PointSav,A programmatic interface for accessing PointSav's authorized public information and assets.,corporate
PointSav Private Network™,Red Privada de PointSav,A dedicated,corporate
PointSav Workplace OS™,PointSav Workplace OS™,A dedicated operating system for managing and securing digital environments within Woodfine's professional centres,corporate
Political Economy,Economía Política,The interrelationship between political and economic systems,corporate
Portfolio,Cartera,A collection of investments held by an individual or institution.,corporate
Portfolio Diversification,Diversificación de Cartera,Spreading investments across different assets to reduce risk,corporate
Portfolio Theory,Teoría de Cartera,A financial theory on how to construct investment portfolios to maximize expected return for a given level of market risk.,corporate
Power Centre,Centro Comercial,A large retail complex anchored by major national retailers,corporate
Power Centre,Centro Comercial,A large retail aggregation anchored by national big-box stores. These centres provide stable foot traffic for adjacent professional spaces.,corporate
Principal Manager,Gerente Principal,The operational designation for Woodfine Management Corp.,corporate
Print Material,Material Impreso,Physical documents or publications used for marketing or informational purposes.,corporate
private credit,crédito privado,Non-bank lending to companies or projects,corporate
private equity,capital privado,Capital invested directly into private companies or real estate,corporate
Private Market,Mercado Privado,A market where securities are not traded on public exchanges,corporate
Private Placement Exemptions,Exenciones de Colocación Privada,Legal provisions that allow the sale of investment units without formal registration with regulatory authorities,corporate
Private Placement Memorandum,Memorándum de Colocación Privada,A legal document used in private securities offerings,corporate
Private SPV Templates,Plantillas de SPV Privados,Standardized structures for external special purpose vehicles used by non-resident asset managers and investors for direct cross-border investing.,corporate
private SPV,SPV Privado,A special purpose vehicle established by non-resident asset managers for direct cross-border investing and tax optimization.,corporate
Production Curve,Curva de Producción,A graph illustrating the maximum output that can be produced with given inputs.,corporate
Professional Brain Drain,Fuga de Cerebros Profesional,The migration of professionals from regional markets to metropolitan areas,corporate
Professional Centres Canada LP,Professional Centres Canada LP,An operational designation for Woodfine's Canadian direct-hold solutions,corporate
Professional Centres Mexico FIBRA,Professional Centres Mexico FIBRA,An operational designation for Woodfine's Mexican direct-hold solutions,corporate
Professional Centres Spain SOCIMI,Professional Centres Spain SOCIMI,An operational designation for Woodfine's Spanish direct-hold solutions,corporate
Professional Centres United States LP,Professional Centres United States LP,An operational designation for Woodfine's U.S. direct-hold solutions,corporate
Professional Centres,Centros Profesionales,Institutional-grade buildings designed for various professional uses,corporate
Projects Wiki,Wiki de Proyectos,An internal collaborative platform for managing project-specific information.,corporate
Projects Wiki Glossary,Glosario de la Wiki de Proyectos,A lexicon of terms and definitions specific to project management within a company.,corporate
Promoter,Promotor,The statutory designation for Woodfine Capital Projects Inc.,corporate
Property Management Fees,Comisiones de Administración de Propiedades,Charges for property management services,corporate
Property Management,Administración de Propiedades,The oversight of real estate,corporate
Prototype,Prototipo,An early sample or model built to test a concept or process,corporate
proxy developers,inversores proxy / desarrolladores proxy,Investors in direct-hold solutions who capture developer profit margins and unlevered yields,corporate
Public Float (Shares),Flotación Pública (Acciones),The portion of Woodfine Capital Projects Inc.'s shares available for public trading,corporate
public float,flotante público,The portion of a company's shares or units publicly available for trading,corporate
public cloud algorithmic scraping,raspado algorítmico de la nube pública,The systemic harvesting of data from shared public cloud networks by algorithms for external use,corporate
public non-listed,público no cotizado,A status for an operating structure that is publicly accountable but whose securities are not listed on an exchange,corporate
Public Non-Traded REIT,Fideicomiso de Inversión Inmobiliaria Público No Negociado,A real estate investment trust that is publicly accountable but whose shares are not actively traded on an exchange,corporate
Public Oversight,Supervisión Pública,The monitoring of organizations by governmental or regulatory bodies,corporate
Public Registry Access (EDGAR/SEDAR+),Acceso a Registros Públicos (EDGAR/SEDAR+),The ability to access official government databases for company filings and disclosures,corporate
PwC,PwC,An auditing firm that contributed to establishing initial financial terms and prospectus structures.,corporate
Qualified Investment,Inversión Calificada,A procurement and development specification for regional commercial real estate that mandates co-location with national retail footprints.,corporate
Qualified Private Capital,Capital Privado Calificado,Global term for accredited or professional investors,corporate
Real Economy,Economía Real,The sector of the economy concerned with the production,corporate
real estate,bienes raíces,Physical land and buildings,corporate
Real Estate Agents,Agentes Inmobiliarios,Professionals who facilitate the buying and selling of property.,corporate
Real Estate Community,Comunidad Inmobiliaria,The collective of individuals and organizations involved in the real estate sector.,corporate
Real Estate Investment Trust (REIT),Fideicomiso de Inversión en Bienes Raíces (REIT),A legal structure that allows for real estate development while maintaining tax transparency,corporate
Real Property,Propiedad Inmobiliaria,Land and anything permanently attached to it,corporate
real property developer,desarrollador de propiedad inmobiliaria,A person or company that develops real property assets,corporate
Record Keeping,Mantenimiento de Registros,The systematic organization and storage of information,corporate
redemption queues,colas de rescate,The waiting periods faced by investors seeking to liquidate holdings in illiquid investment funds,corporate
