term_en,term_es,definition,domain
Markup Language,,,documentation
Media Assets,,,documentation
MediaKit OS – Design System,,,documentation
MediaKit OS – Distribution,,,documentation
MediaKit OS – Hosting,,,documentation
MediaKit OS – Marketing,,,documentation
MediaKit OS – System Administration,,,documentation
MediaKit OS – Wiki,,,documentation
MediaKit OS,,,documentation
MediaWiki,,,documentation
Metadata,,,documentation
Microkernel Operating System,,,documentation
Microservices,,,documentation
Micro Virtual Machines or Micro VM,,,documentation
Mobile Devices,,,documentation
Nano Virtual Machines or Nano VM,,,documentation
Network Admin OS,,,documentation
Newsfeed,,,documentation
Newswire Services,,,documentation
On-prem Resources,,,documentation
Open Source,,,documentation
Operating System,,,documentation
P1 – Input Machine,,,documentation
P2 – System Administration / Package Manager,,,documentation
P3 – Users,,,documentation
P4 – Interface,,,documentation
Package Manager,,,documentation
Pairing,,,documentation
Permissions,,,documentation
Personal Computer,,,documentation
Platform,,,documentation
PointSav Corporate Support Centre,,,documentation
PointSav Design System,,,documentation
PointSav Documentation or PointSav Documentation Wiki,,,documentation
PointSav Landing Page,,,documentation
PointSav Private Network,,,documentation
Privacy Policy,,,documentation
Private Network,,,documentation
PrivateGit OS,,,documentation
Product Design,,,documentation
Products,,,documentation
Proprietary Technology,,,documentation
Public Browser Delivery – BIM,,,documentation
Public Browser Delivery – Data Marketplace,,,documentation
Public Browser Delivery – Input Machine,,,documentation
Public Browser Delivery – Maps,,,documentation
Public Browser Delivery,,,documentation
Public Cloud Resources,,,documentation
README Files or README.txt,,,documentation
Real Estate Community,,,documentation
Real-Time Operating System,,,documentation
Record Keeping,Mantenimiento de Registros,Function of proprietary software.,documentation
RSS Feeds,,,documentation
RSS Reader,,,documentation
Scaling,,,documentation
Second-party Data,,,documentation
Service Design,,,documentation
Service Providers,,,documentation
Services,,,documentation
Smart Building,,,documentation
Software,,,documentation
Source Code,,,documentation
Specialty Software,,,documentation
Stakeholders,,,documentation
Subdomain,,,documentation
Surveillance,,Capitalism a concept in political economics which denotes the widespread collection and commodification of personal data by corporations.,documentation
System Design,,,documentation
Tech Community,,,documentation
Technical Lead,,,documentation
Technofeudalism,,"the new power that is reshaping our lives and the world, and is the greatest current threat to the liberal individual...",documentation
Technology Selection,,,documentation
Tenants,,,documentation
Terminal,,,documentation
Third-party Data,,,documentation
Tokens,,,documentation
Topic Templates,,,documentation
Topics,,,documentation
Totebox Archive,,,documentation
Totebox Archive – Corporate,,,documentation
Totebox Archive – Metadata and FTP,,,documentation
Totebox Archive – Personnel,,,documentation
Totebox Archive – Real Property,,,documentation
Totebox Orchestration,,,documentation
Totebox OS – BIM,,,documentation
Totebox OS – Bookkeeper,,,documentation
Totebox OS – Calendar,,,documentation
Totebox OS – Chat,,,documentation
Totebox OS – Conferencing,,,documentation
Totebox OS – eMail,,,documentation
Totebox OS – FTP,,,documentation
Totebox OS – IoT Data,,,documentation
Totebox OS – IoT Device Library,,,documentation
Totebox OS – IoT Sensor Library,,,documentation
Totebox OS – Minutebook,,,documentation
Totebox OS – Parking Lots,,,documentation
Totebox OS – People,,,documentation
Totebox OS – Places,,,documentation
Totebox OS – Published Work,,,documentation
Totebox OS – Research,,,documentation
Totebox OS – RSS Feed,,,documentation
Totebox OS – Business,,,documentation
Totebox OS,,,documentation
Totebox Services,,,documentation
Type II Hypervisor,,,documentation
Unikernel,,,documentation
Upstream,,,documentation
Use Cases,,,documentation
User Experience or Service Design or UX,,,documentation
User Guide,,,documentation
User Interface or Product Design or UI,,,documentation
User-centred,,,documentation
Usernames and Passwords,,,documentation
Users,,,documentation
Virtual Machine or VM,,,documentation
Virtualization,,,documentation
Wallet,,,documentation
WCP Corporate Brochure or WCP Investor Presentation,,,documentation
WCP Corporate Wiki,,,documentation
WCP Landing Page,,,documentation
WCP Newsroom,,,documentation
WCP Projects Wiki,,,documentation
Web 3.0,,,documentation
White Paper Discovery Process,,,documentation
Wi-Fi,,,documentation
Windows Operating System,,,documentation
Wireframes,,,documentation
WordPress,,,documentation
Workplace OS – Browser,,,documentation
Workplace OS – Calculator,,,documentation
Workplace OS – File Manager,,,documentation
Workplace OS – PDF Viewer,,,documentation
Workplace OS – Spreadsheet,,,documentation
Workplace OS – Word Processor,,,documentation
Workplace OS,,,documentation
World Wide Web,,,documentation
What You See Is What You Get or WYSIWYG,,,documentation
Zero-party Data,,,documentation
Public Cloud,,,documentation
Technical Debt,,,documentation
Gamification,,,documentation
Mark Up Language,,,documentation
Information Technology,Information Technology,Required for robust operations.,documentation
Property Management,Administración de Propiedades,Function of proprietary software.,documentation
Book-Entry,Anotación en Cuenta,Electronic registration.,documentation
